SL.No,Sales Org,Sales Org Description ,Dist Ch,Dist Ch Description,Plant,Plant Description
1,1010,GENO Sales Orgn,10,Direct Customers,1000,Geno Manufacturing Unit
2,1010,GENO Sales Orgn,20,Sales from C&F,1000,Geno Manufacturing Unit
3,1010,GENO Sales Orgn,30,Scrap Sales,1000,Geno Manufacturing Unit
4,1010,GENO Sales Orgn,40,RM & PM Sales,1000,Geno Manufacturing Unit
5,1010,GENO Sales Orgn,50,Institutional Sales,1000,Geno Manufacturing Unit
6,1010,GENO Sales Orgn,60,MTO,1000,Geno Manufacturing Unit
7,1010,GENO Sales Orgn,70,Stock Transfers,1000,Geno Manufacturing Unit
8,1010,GENO Sales Orgn,80,Export Sales,1000,Geno Manufacturing Unit
